file_id	file_name	case_id	submitter_id	sample_type	sample_id
744a6d3d-b666-49aa-8d26-47f34e3d1eb5	94027f46-390c-4dda-ab89-cb1ac0a291cd.rna_seq.augmented_star_gene_counts.tsv	878f975b-94fd-4d69-b7e7-1ed3ac2ee438	TCGA-BH-A18H	Primary Tumor	9321161b-d568-4d38-aed3-956786a06329
4ecc1f1a-8ff4-4552-a5e8-7a9652b6d1d5	df45fb41-4511-4dab-b865-fcdfcda0400a.rna_seq.augmented_star_gene_counts.tsv	e4fc0909-f284-4471-866d-d8967b6adcbc	TCGA-E2-A14P	Primary Tumor	58bfe278-a80f-4722-b286-4d966214d244
1ace2a0c-773d-45b5-8fd6-968c88731bbb	c33ecc28-d5ba-4416-b93d-445b7883b6e8.rna_seq.augmented_star_gene_counts.tsv	e5aae05a-478e-4a55-a27c-12b2b4be302a	TCGA-AN-A04A	Primary Tumor	1d8f72b7-8596-40e8-afdf-244dd897758c
2d5b0962-b5c4-4482-9f28-47e4dcdb6df6	602e3d24-a45d-4fe4-9b70-a679d93f470d.rna_seq.augmented_star_gene_counts.tsv	16fc3677-0393-4ed1-ad3f-c8355f056369	TCGA-5L-AAT1	Primary Tumor	a31dec9b-3626-4cb0-8265-1425d5ce1c1e
c2515ef2-5cfc-4cc2-9541-ae072616d361	f8ff90c6-3554-4e19-ae56-18f30f51f9b5.rna_seq.augmented_star_gene_counts.tsv	d0b78f3f-a198-437a-ab8c-204345d3b75d	TCGA-AQ-A0Y5	Primary Tumor	f5675b71-ed1b-4fdb-be07-d627dc98ed88
61647238-a8c4-4156-af15-c32947983cfd	4c6cb929-293d-452e-b7f8-d535b48cf073.rna_seq.augmented_star_gene_counts.tsv	566792ae-f853-4a47-856d-f02cdcfcb18a	TCGA-A8-A07I	Primary Tumor	0d2e50fa-daef-45a3-97b2-5d71ab03cfbf
488399aa-ef3c-42d7-817f-9db11b9902dd	a8e0466b-d106-44b7-b846-c4fb666715f5.rna_seq.augmented_star_gene_counts.tsv	b7a4df9a-4e25-4550-9c10-338ca1921c2f	TCGA-E9-A1R4	Primary Tumor	ea78a749-5aee-44e6-9592-b2e20eeb7ff9
3d0b3b80-92ae-44dc-89fc-2ead925b81a2	eb44c266-8b8f-4012-ad67-f4ac40698391.rna_seq.augmented_star_gene_counts.tsv	b9c6c069-2a2b-4cc7-a398-dc45c132d979	TCGA-AC-A8OP	Primary Tumor	c32e8a89-bc6b-4e8a-8719-4509412b5729
5cce30f3-99ae-4959-987a-0d280dc2ec44	2dd0b954-db3e-402d-9c06-6160e199dedb.rna_seq.augmented_star_gene_counts.tsv	28e9048a-e540-42de-a1f4-4ef894fccc4c	TCGA-AR-A24Q	Primary Tumor	9ff22b6b-ec23-41f5-a887-a59da1639858
ddeb1445-08ae-441c-9f2a-4647df1b4ed6	5cc4350c-416e-4f2c-be73-12af68ad1ee4.rna_seq.augmented_star_gene_counts.tsv	332148f5-f070-4c20-8eb1-4d8c0673aa52	TCGA-D8-A1XU	Primary Tumor	4fbe5e67-d18a-48d5-bd88-19a2f4c01c8d
5c0579f7-6184-4afa-805c-7aeec4a4c5d2	7c9a2493-5667-48ec-8998-81e13722b4ab.rna_seq.augmented_star_gene_counts.tsv	9435447e-d65f-408b-863b-6576b1d652dd	TCGA-AO-A03N	Primary Tumor	06b3e3ca-24b9-4e19-9e59-b51cc6d6735b
9c00a43c-1da0-4e3b-b7e2-54a48d29ecae	c2e73efe-8112-48fc-9dbd-29b4b5b89ad0.rna_seq.augmented_star_gene_counts.tsv	0dc337fa-da8b-42c4-b9a7-fb76d81c161f	TCGA-A1-A0SN	Primary Tumor	62d2a36e-feb1-4084-8111-7ea38a4e3049
6ce774a5-2636-4a01-ab6e-737f89a4bd4f	28f1b708-bd3c-4ae7-935f-3282f75304a7.rna_seq.augmented_star_gene_counts.tsv	752f4773-5a12-4485-a1f6-896e148ddf4d	TCGA-D8-A1JP	Primary Tumor	bdc13064-e554-4a1e-9037-03187bcb3507
fed0a382-2eee-4acc-af00-53a9fdcd2a61	2c1b1cbb-6e9f-4416-8faa-abb31d6b4e0e.rna_seq.augmented_star_gene_counts.tsv	2b19a6b4-7a17-4452-b4aa-6fc18adc0c3c	TCGA-D8-A1XL	Primary Tumor	e5053de2-2a3b-4559-a166-35df5386d644
80d565a0-59f6-409e-8850-5d4e2b5b996d	9da89066-8d82-4ace-80e1-889d3c73c8eb.rna_seq.augmented_star_gene_counts.tsv	1dafdd64-527d-4d46-bbdf-7a97774f881b	TCGA-B6-A1KI	Primary Tumor	a6b12e25-7b2d-460c-876f-02a75a82d7d2
263123b0-ec68-47cd-96dd-4f0795503d89	fb49b14e-d40f-4270-98b3-458ce60f2cde.rna_seq.augmented_star_gene_counts.tsv	1402082d-25c9-4148-8a1e-f58450b706bb	TCGA-B6-A0IP	Primary Tumor	6b1c8010-d4fe-40e7-8e09-7a7dbdde6616
f205f47f-bd57-42bf-a702-4a17d4391411	3f32cdec-5a60-4147-b313-7c9a9dfefc78.rna_seq.augmented_star_gene_counts.tsv	5a4b7098-1f6a-49e9-b364-29d6d34f5bd5	TCGA-B6-A0IM	Primary Tumor	74f23f3b-989c-441b-8715-505378d175e3
0e0df72c-33c0-4e4f-939c-a4d45a6e1ea3	36125e17-48fd-4eea-874c-ed2e2e218402.rna_seq.augmented_star_gene_counts.tsv	0045349c-69d9-4306-a403-c9c1fa836644	TCGA-A1-A0SB	Primary Tumor	f66358d4-9319-4c23-983d-ab5056daacf1
111b2865-e7dc-45c9-b206-20b5713714bc	6798cbfe-7aca-4f33-b4fc-162bf579a303.rna_seq.augmented_star_gene_counts.tsv	d8d7a6c2-6427-4f47-968c-6c3affba4617	TCGA-A8-A08B	Primary Tumor	1964addf-c524-4c72-b596-009235bad133
9a1c9a5a-7b3f-463b-bc9c-e06107b2aeb7	ecdac97e-eec5-4753-a572-8aff707178e5.rna_seq.augmented_star_gene_counts.tsv	c6086936-7544-4da0-8c0c-114166848483	TCGA-AN-A0FD	Primary Tumor	439d2ec5-1059-4556-b886-60b42b6db1d7
931442ba-af81-4b68-beca-7285fc44b1df	f2dda955-5a39-43c1-93a2-83953b2b91d1.rna_seq.augmented_star_gene_counts.tsv	427d0648-3f77-4ffc-b52c-89855426d647	TCGA-3C-AALJ	Primary Tumor	e355913a-6e4c-4d63-8a53-8be4c5b003b8
eff9c23b-fc85-403c-8e88-86b4def8ced1	e7c2b898-cd11-42a1-b309-b4de1ab01965.rna_seq.augmented_star_gene_counts.tsv	0cf0d67c-2f7f-42a6-94f3-407d0ec46c88	TCGA-AC-A4ZE	Primary Tumor	2bd0e061-f49d-4f0c-a76d-1a647860e0d0
a63cca36-139d-4054-9d99-9b04ddae7ec2	3d05d072-d042-4c02-aaf6-ee2e589003d6.rna_seq.augmented_star_gene_counts.tsv	b094e8b2-8ece-4b36-8025-18073a8b873c	TCGA-AO-A124	Primary Tumor	2f4d3cea-30c8-4cf0-a610-33b3e20241e8
5645320f-820e-45b7-b4cf-ea05085f53e3	bb06ad3a-4d73-4f88-8f3c-954dce2b38ef.rna_seq.augmented_star_gene_counts.tsv	aa30ac3d-4216-45dd-a314-1ae192fafcb2	TCGA-AR-A24M	Primary Tumor	5754d368-87b9-40e5-9a56-bd48ad9a80e3
f9432d83-a322-4f5b-9c45-7dad736005a4	c1f95e8e-aaaa-4090-8f64-c619aa543d1b.rna_seq.augmented_star_gene_counts.tsv	4aacbc42-5ac5-4339-b9fa-c6e812084837	TCGA-E9-A22A	Primary Tumor	0f0cca8e-770c-45df-a6cc-466cc9328637
3d075fc4-5a01-47ce-bef0-a77acf71061d	707fad7d-f284-456a-abfa-17289b40579f.rna_seq.augmented_star_gene_counts.tsv	4a032bad-e726-48f2-8f39-e3acc109cc91	TCGA-BH-A0BZ	Primary Tumor	55906ee0-a385-4ec9-8515-90ab613eca35
fc0e74d2-ab94-48b1-8e31-808bde7a3fe6	3f3b6a7b-94f0-40a3-9f16-32bab2854678.rna_seq.augmented_star_gene_counts.tsv	5d688049-f271-40ef-813a-d37240ffe21c	TCGA-A8-A07F	Primary Tumor	f411d1ba-697f-4759-afb1-89eaa56e6da7
7ff8696e-3809-4b96-9259-be654631d952	db01aba1-3a00-4bf9-9f24-8fba144144f3.rna_seq.augmented_star_gene_counts.tsv	d7195183-9fe4-4b17-bcfd-9367d2e539ce	TCGA-B6-A0WT	Primary Tumor	1940c04b-a08a-4cce-9915-483656d5b4c3
73edea85-f978-4c99-b9c3-fda3ffc6a065	f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f.rna_seq.augmented_star_gene_counts.tsv	298a1710-deb4-4064-a0f2-da32d43aa217	TCGA-C8-A12Y	Primary Tumor	d9de9f71-2b39-4d21-9c93-8e199080c011
